Unnamed: 0,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore,AverageScore,TotalScore,PerformanceCategory,StrongestSubject,WeakestSubject,ScoreBalance,HighPerformer,WklyStudyHours_Numeric,SiblingCategory
560,female,group A,bachelor's degree,standard,none,married,sometimes,yes,4.0,private,5 - 10,61,66.0,68.0,65.0,195.0,Average,Writing,Math,3.605551275463989,0,7.5,4+ Siblings
562,female,,some high school,standard,none,married,regularly,yes,2.0,private,5 - 10,62,70.0,68.0,66.66666666666667,200.0,Average,Reading,Math,4.163331998932265,0,7.5,2-3 Siblings
563,male,group B,some college,free/reduced,none,married,sometimes,no,1.0,school_bus,5 - 10,78,71.0,72.0,73.66666666666667,221.0,Good,Math,Reading,3.7859388972001824,0,7.5,One Sibling
564,male,group C,some high school,standard,completed,married,sometimes,no,2.0,school_bus,5 - 10,79,82.0,77.0,79.33333333333333,238.0,Good,Reading,Writing,2.5166114784235836,0,7.5,2-3 Siblings
565,female,group B,associate's degree,standard,completed,single,sometimes,no,4.0,school_bus,< 5,48,60.0,58.0,55.333333333333336,166.0,Below Average,Reading,Math,6.429100507328637,0,2.5,4+ Siblings
566,male,,some high school,free/reduced,completed,divorced,sometimes,yes,1.0,private,5 - 10,71,71.0,73.0,71.66666666666667,215.0,Good,Writing,Math,1.1547005383792517,0,7.5,One Sibling
567,female,group E,associate's degree,free/reduced,none,single,regularly,no,,school_bus,< 5,56,58.0,56.0,56.666666666666664,170.0,Below Average,Reading,Math,1.1547005383792517,0,2.5,4+ Siblings
568,male,group D,high school,standard,none,single,sometimes,no,1.0,school_bus,5 - 10,59,48.0,44.0,50.333333333333336,151.0,Below Average,Math,Writing,7.767453465154029,0,7.5,One Sibling
569,female,group D,,standard,none,single,never,no,4.0,,5 - 10,83,87.0,83.0,84.33333333333333,253.0,Very Good,Reading,Math,2.3094010767585034,1,7.5,4+ Siblings
570,male,group C,some college,standard,none,married,regularly,no,4.0,school_bus,5 - 10,73,70.0,67.0,70.0,210.0,Good,Math,Writing,3.0,0,7.5,4+ Siblings
571,male,group E,bachelor's degree,standard,completed,single,regularly,yes,2.0,school_bus,< 5,99,95.0,100.0,98.0,294.0,Excellent,Writing,Reading,2.6457513110645907,1,2.5,2-3 Siblings
572,female,group C,some college,standard,none,married,never,yes,3.0,school_bus,5 - 10,55,65.0,65.0,61.666666666666664,185.0,Average,Reading,Math,5.773502691896258,0,7.5,2-3 Siblings
573,female,group B,some college,standard,none,single,sometimes,yes,3.0,private,5 - 10,81,91.0,83.0,85.0,255.0,Very Good,Reading,Math,5.291502622129181,1,7.5,2-3 Siblings
574,female,group D,master's degree,standard,none,married,sometimes,yes,4.0,private,5 - 10,88,100.0,100.0,96.0,288.0,Excellent,Reading,Math,6.928203230275509,1,7.5,4+ Siblings
575,female,group C,bachelor's degree,standard,completed,single,sometimes,no,2.0,private,5 - 10,89,100.0,100.0,96.33333333333333,289.0,Excellent,Reading,Math,6.350852961085883,1,7.5,2-3 Siblings
576,male,group C,high school,standard,none,married,regularly,yes,1.0,school_bus,5 - 10,49,46.0,42.0,45.666666666666664,137.0,Poor,Math,Writing,3.511884584284246,0,7.5,One Sibling
577,female,group C,some high school,free/reduced,completed,divorced,sometimes,yes,1.0,private,< 5,34,60.0,52.0,48.666666666666664,146.0,Poor,Reading,Math,13.316656236958787,0,2.5,One Sibling
578,female,group B,high school,standard,none,married,regularly,yes,1.0,private,5 - 10,58,66.0,72.0,65.33333333333333,196.0,Average,Writing,Math,7.023769168568492,0,7.5,One Sibling
579,male,group B,high school,free/reduced,none,married,sometimes,yes,2.0,,5 - 10,59,62.0,52.0,57.666666666666664,173.0,Below Average,Reading,Writing,5.131601439446884,0,7.5,2-3 Siblings
580,male,group C,associate's degree,standard,none,married,sometimes,no,2.0,school_bus,5 - 10,51,51.0,44.0,48.666666666666664,146.0,Poor,Math,Writing,4.041451884327381,0,7.5,2-3 Siblings
581,male,group C,high school,standard,none,divorced,sometimes,yes,1.0,private,5 - 10,77,80.0,72.0,76.33333333333333,229.0,Good,Reading,Writing,4.041451884327381,0,7.5,One Sibling
582,male,group D,some college,standard,,single,sometimes,yes,1.0,school_bus,5 - 10,83,79.0,78.0,80.0,240.0,Very Good,Math,Writing,2.6457513110645907,1,7.5,One Sibling
583,female,group C,associate's degree,free/reduced,completed,married,sometimes,yes,1.0,school_bus,5 - 10,87,97.0,97.0,93.66666666666667,281.0,Excellent,Reading,Math,5.773502691896257,1,7.5,One Sibling
584,male,group B,,standard,completed,single,regularly,yes,1.0,private,5 - 10,78,71.0,74.0,74.33333333333333,223.0,Good,Math,Reading,3.511884584284246,0,7.5,One Sibling
585,female,group B,associate's degree,free/reduced,completed,single,regularly,yes,0.0,school_bus,< 5,61,70.0,73.0,68.0,204.0,Average,Writing,Math,6.244997998398398,0,2.5,Only Child
586,female,group A,,standard,none,divorced,regularly,yes,0.0,private,5 - 10,66,70.0,75.0,70.33333333333333,211.0,Good,Writing,Math,4.509249752822894,0,7.5,Only Child
587,male,group C,some high school,free/reduced,completed,divorced,regularly,yes,4.0,school_bus,< 5,81,79.0,80.0,80.0,240.0,Very Good,Math,Reading,1.0,1,2.5,4+ Siblings
588,female,group A,associate's degree,free/reduced,completed,single,never,no,3.0,school_bus,5 - 10,42,46.0,50.0,46.0,138.0,Poor,Writing,Math,4.0,0,7.5,2-3 Siblings
589,female,group B,bachelor's degree,standard,none,married,sometimes,yes,4.0,private,> 10,89,86.0,84.0,86.33333333333333,259.0,Very Good,Math,Writing,2.5166114784235836,1,12.5,4+ Siblings
590,female,group B,master's degree,standard,none,married,sometimes,yes,3.0,private,< 5,79,90.0,82.0,83.66666666666667,251.0,Very Good,Reading,Math,5.686240703077327,1,2.5,2-3 Siblings
592,female,group C,bachelor's degree,standard,none,single,sometimes,yes,0.0,private,5 - 10,43,50.0,53.0,48.666666666666664,146.0,Poor,Writing,Math,5.131601439446884,0,7.5,Only Child
593,female,group C,associate's degree,free/reduced,none,married,regularly,yes,2.0,school_bus,5 - 10,44,57.0,51.0,50.666666666666664,152.0,Below Average,Reading,Math,6.506407098647712,0,7.5,2-3 Siblings
594,female,,high school,standard,none,divorced,,yes,,school_bus,< 5,75,71.0,78.0,74.66666666666667,224.0,Good,Writing,Reading,3.511884584284246,0,2.5,4+ Siblings
595,male,group B,associate's degree,standard,none,single,regularly,yes,0.0,school_bus,,72,64.0,63.0,66.33333333333333,199.0,Average,Math,Writing,4.932882862316247,0,,Only Child
596,female,group D,associate's degree,free/reduced,none,married,sometimes,yes,4.0,school_bus,5 - 10,42,65.0,66.0,57.666666666666664,173.0,Below Average,Writing,Math,13.576941236277534,0,7.5,4+ Siblings
597,male,group B,associate's degree,standard,none,married,sometimes,no,4.0,private,5 - 10,98,88.0,80.0,88.66666666666667,266.0,Very Good,Math,Writing,9.018499505645789,1,7.5,4+ Siblings
598,female,group C,high school,standard,none,divorced,sometimes,yes,2.0,school_bus,5 - 10,51,60.0,56.0,55.666666666666664,167.0,Below Average,Reading,Math,4.509249752822894,0,7.5,2-3 Siblings
599,female,group C,some college,standard,completed,single,sometimes,yes,0.0,private,,73,82.0,85.0,80.0,240.0,Very Good,Writing,Math,6.244997998398398,1,,Only Child
600,female,group B,high school,standard,none,divorced,sometimes,no,1.0,private,5 - 10,37,43.0,39.0,39.666666666666664,119.0,Poor,Reading,Math,3.0550504633038935,0,7.5,One Sibling
601,male,group C,some high school,free/reduced,completed,married,regularly,yes,2.0,private,< 5,40,34.0,37.0,37.0,111.0,Poor,Math,Reading,3.0,0,2.5,2-3 Siblings
602,female,group E,some college,standard,none,divorced,sometimes,yes,3.0,,5 - 10,68,73.0,67.0,69.33333333333333,208.0,Average,Reading,Writing,3.214550253664318,0,7.5,2-3 Siblings
603,male,group D,some high school,standard,completed,divorced,sometimes,yes,0.0,private,> 10,85,79.0,85.0,83.0,249.0,Very Good,Math,Reading,3.4641016151377544,1,12.5,Only Child
604,female,group A,some high school,standard,completed,married,regularly,yes,3.0,private,> 10,60,74.0,79.0,71.0,213.0,Good,Writing,Math,9.848857801796104,0,12.5,2-3 Siblings
605,female,group D,high school,free/reduced,,married,never,no,3.0,private,< 5,57,69.0,62.0,62.666666666666664,188.0,Average,Reading,Math,6.027713773341708,0,2.5,2-3 Siblings
606,male,group D,some high school,free/reduced,none,,sometimes,yes,6.0,private,5 - 10,43,41.0,36.0,40.0,120.0,Poor,Math,Writing,3.605551275463989,0,7.5,4+ Siblings
607,male,group D,some college,free/reduced,none,married,regularly,yes,,private,< 5,81,80.0,79.0,80.0,240.0,Very Good,Math,Writing,1.0,1,2.5,4+ Siblings
608,female,group C,associate's degree,free/reduced,,single,never,yes,3.0,school_bus,> 10,71,85.0,88.0,81.33333333333333,244.0,Very Good,Writing,Math,9.073771725877467,1,12.5,2-3 Siblings
609,female,group C,high school,free/reduced,none,married,never,yes,0.0,school_bus,5 - 10,61,62.0,62.0,61.666666666666664,185.0,Average,Reading,Math,0.5773502691896258,0,7.5,Only Child
610,female,group C,high school,free/reduced,completed,divorced,sometimes,yes,6.0,school_bus,> 10,65,72.0,72.0,69.66666666666667,209.0,Average,Reading,Math,4.041451884327381,0,12.5,4+ Siblings
611,male,group B,some college,standard,,married,never,yes,2.0,school_bus,5 - 10,58,59.0,57.0,58.0,174.0,Below Average,Reading,Writing,1.0,0,7.5,2-3 Siblings
612,male,group D,,standard,none,single,regularly,no,3.0,school_bus,5 - 10,100,85.0,87.0,90.66666666666667,272.0,Excellent,Math,Reading,8.144527815247079,1,7.5,2-3 Siblings
613,female,group C,high school,free/reduced,completed,married,sometimes,yes,1.0,private,5 - 10,58,58.0,63.0,59.666666666666664,179.0,Below Average,Writing,Math,2.8867513459481287,0,7.5,One Sibling
614,female,group C,some college,standard,completed,married,regularly,yes,,school_bus,5 - 10,78,89.0,91.0,86.0,258.0,Very Good,Writing,Math,7.0,1,7.5,4+ Siblings
615,male,group D,some high school,standard,completed,single,sometimes,no,4.0,private,> 10,58,49.0,53.0,53.333333333333336,160.0,Below Average,Math,Reading,4.509249752822894,0,12.5,4+ Siblings
616,female,group D,associate's degree,standard,none,divorced,sometimes,no,1.0,private,> 10,31,55.0,46.0,44.0,132.0,Poor,Reading,Math,12.12435565298214,0,12.5,One Sibling
617,female,,associate's degree,standard,none,divorced,sometimes,yes,2.0,,5 - 10,56,60.0,64.0,60.0,180.0,Average,Writing,Math,4.0,0,7.5,2-3 Siblings
618,male,group D,some college,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,76,65.0,65.0,68.66666666666667,206.0,Average,Math,Reading,6.350852961085883,0,7.5,2-3 Siblings
619,female,group D,high school,standard,completed,single,regularly,yes,2.0,private,5 - 10,82,96.0,98.0,92.0,276.0,Excellent,Writing,Math,8.717797887081348,1,7.5,2-3 Siblings
620,male,,,standard,none,married,regularly,no,3.0,school_bus,< 5,84,83.0,76.0,81.0,243.0,Very Good,Math,Writing,4.358898943540674,1,2.5,2-3 Siblings
621,female,group A,some college,standard,completed,divorced,regularly,yes,3.0,private,> 10,100,100.0,100.0,100.0,300.0,Excellent,Math,Math,0.0,1,12.5,2-3 Siblings
622,female,,master's degree,free/reduced,none,married,sometimes,yes,2.0,school_bus,5 - 10,90,93.0,94.0,92.33333333333333,277.0,Excellent,Writing,Math,2.081665999466133,1,7.5,2-3 Siblings
623,female,group C,master's degree,standard,none,married,never,yes,2.0,,5 - 10,79,83.0,81.0,81.0,243.0,Very Good,Reading,Math,2.0,1,7.5,2-3 Siblings
624,male,group C,some college,standard,completed,,sometimes,yes,1.0,school_bus,5 - 10,87,76.0,72.0,78.33333333333333,235.0,Good,Math,Writing,7.76745346515403,0,7.5,One Sibling
625,female,group C,,free/reduced,none,single,regularly,yes,0.0,school_bus,5 - 10,54,55.0,53.0,54.0,162.0,Below Average,Reading,Writing,1.0,0,7.5,Only Child
626,male,group C,high school,free/reduced,none,married,sometimes,no,1.0,private,5 - 10,39,46.0,40.0,41.666666666666664,125.0,Poor,Reading,Math,3.785938897200183,0,7.5,One Sibling
628,female,group C,high school,free/reduced,none,married,regularly,yes,1.0,private,< 5,52,59.0,60.0,57.0,171.0,Below Average,Writing,Math,4.358898943540674,0,2.5,One Sibling
629,female,group A,some college,free/reduced,none,divorced,regularly,no,1.0,school_bus,< 5,68,73.0,72.0,71.0,213.0,Good,Reading,Math,2.6457513110645907,0,2.5,One Sibling
630,male,,some college,standard,completed,single,sometimes,yes,3.0,school_bus,,79,68.0,72.0,73.0,219.0,Good,Math,Reading,5.5677643628300215,0,,2-3 Siblings
631,male,group B,some high school,standard,none,married,sometimes,,1.0,school_bus,5 - 10,79,76.0,74.0,76.33333333333333,229.0,Good,Math,Writing,2.5166114784235836,0,7.5,One Sibling
632,female,group E,high school,standard,,married,regularly,yes,1.0,private,< 5,84,92.0,93.0,89.66666666666667,269.0,Very Good,Writing,Math,4.932882862316247,1,2.5,One Sibling
633,male,group B,associate's degree,standard,none,married,never,yes,0.0,school_bus,5 - 10,61,55.0,52.0,56.0,168.0,Below Average,Math,Writing,4.58257569495584,0,7.5,Only Child
634,female,,some high school,standard,none,married,regularly,yes,1.0,school_bus,5 - 10,70,88.0,84.0,80.66666666666667,242.0,Very Good,Reading,Math,9.451631252505218,1,7.5,One Sibling
635,female,group A,associate's degree,standard,none,divorced,regularly,no,3.0,school_bus,> 10,73,85.0,87.0,81.66666666666667,245.0,Very Good,Writing,Math,7.571877794400366,1,12.5,2-3 Siblings
636,male,group C,some college,standard,none,married,sometimes,yes,2.0,,> 10,83,72.0,71.0,75.33333333333333,226.0,Good,Math,Writing,6.6583281184793925,0,12.5,2-3 Siblings
637,female,group A,some college,standard,none,divorced,never,no,3.0,private,5 - 10,75,69.0,72.0,72.0,216.0,Good,Math,Reading,3.0,0,7.5,2-3 Siblings
638,female,group D,some high school,standard,none,married,regularly,yes,3.0,school_bus,5 - 10,63,73.0,66.0,67.33333333333333,202.0,Average,Reading,Math,5.131601439446884,0,7.5,2-3 Siblings
639,female,group D,some college,standard,completed,single,sometimes,yes,0.0,school_bus,< 5,76,79.0,90.0,81.66666666666667,245.0,Very Good,Writing,Math,7.371114795831994,1,2.5,Only Child
640,male,group B,high school,standard,,divorced,sometimes,yes,3.0,private,5 - 10,39,48.0,35.0,40.666666666666664,122.0,Poor,Reading,Writing,6.658328118479393,0,7.5,2-3 Siblings
641,female,group D,some college,free/reduced,completed,married,regularly,yes,4.0,private,5 - 10,48,66.0,70.0,61.333333333333336,184.0,Average,Writing,Math,11.718930554164631,0,7.5,4+ Siblings
643,female,group D,bachelor's degree,standard,none,divorced,sometimes,no,2.0,school_bus,< 5,58,65.0,71.0,64.66666666666667,194.0,Average,Writing,Math,6.506407098647712,0,2.5,2-3 Siblings
644,male,group C,some high school,free/reduced,none,married,regularly,no,3.0,,5 - 10,59,43.0,44.0,48.666666666666664,146.0,Poor,Math,Reading,8.962886439832502,0,7.5,2-3 Siblings
645,female,group D,master's degree,free/reduced,none,divorced,sometimes,yes,1.0,,5 - 10,58,70.0,75.0,67.66666666666667,203.0,Average,Writing,Math,8.736894948054106,0,7.5,One Sibling
646,male,group C,some college,free/reduced,completed,married,sometimes,yes,5.0,private,5 - 10,65,72.0,66.0,67.66666666666667,203.0,Average,Reading,Math,3.7859388972001824,0,7.5,4+ Siblings
647,female,group C,some high school,standard,none,,sometimes,no,2.0,private,,59,65.0,64.0,62.666666666666664,188.0,Average,Reading,Math,3.2145502536643185,0,,2-3 Siblings
648,male,,associate's degree,standard,none,married,sometimes,yes,1.0,school_bus,> 10,70,47.0,55.0,57.333333333333336,172.0,Below Average,Math,Reading,11.676186592091328,0,12.5,One Sibling
649,female,group B,high school,free/reduced,completed,single,sometimes,no,1.0,private,< 5,51,63.0,65.0,59.666666666666664,179.0,Below Average,Writing,Math,7.571877794400365,0,2.5,One Sibling
650,female,group B,high school,free/reduced,none,married,sometimes,yes,0.0,school_bus,5 - 10,34,39.0,45.0,39.333333333333336,118.0,Poor,Writing,Math,5.507570547286102,0,7.5,Only Child
651,female,group A,associate's degree,standard,completed,,sometimes,yes,2.0,school_bus,5 - 10,93,100.0,100.0,97.66666666666667,293.0,Excellent,Reading,Math,4.041451884327381,1,7.5,2-3 Siblings
652,male,group E,bachelor's degree,standard,none,married,never,yes,3.0,school_bus,5 - 10,90,87.0,76.0,84.33333333333333,253.0,Very Good,Math,Writing,7.371114795831994,1,7.5,2-3 Siblings
653,male,group C,some college,free/reduced,completed,married,sometimes,no,2.0,,< 5,60,52.0,49.0,53.666666666666664,161.0,Below Average,Math,Writing,5.686240703077327,0,2.5,2-3 Siblings
654,male,group D,associate's degree,standard,none,married,sometimes,yes,2.0,school_bus,< 5,68,74.0,76.0,72.66666666666667,218.0,Good,Writing,Math,4.163331998932265,0,2.5,2-3 Siblings
655,female,group A,high school,free/reduced,none,divorced,sometimes,yes,2.0,,,34,51.0,49.0,44.666666666666664,134.0,Poor,Reading,Math,9.291573243177568,0,,2-3 Siblings
656,female,group D,some college,standard,none,,sometimes,yes,1.0,,< 5,44,54.0,60.0,52.666666666666664,158.0,Below Average,Writing,Math,8.082903768654761,0,2.5,One Sibling
657,male,group D,master's degree,free/reduced,none,single,sometimes,yes,1.0,,< 5,70,80.0,80.0,76.66666666666667,230.0,Good,Reading,Math,5.773502691896257,0,2.5,One Sibling
659,male,group D,some college,free/reduced,completed,married,regularly,no,2.0,school_bus,< 5,50,58.0,60.0,56.0,168.0,Below Average,Writing,Math,5.291502622129181,0,2.5,2-3 Siblings
660,female,,,free/reduced,none,single,sometimes,no,,school_bus,> 10,59,59.0,57.0,58.333333333333336,175.0,Below Average,Math,Writing,1.1547005383792517,0,12.5,4+ Siblings
661,female,group D,associate's degree,free/reduced,none,married,sometimes,yes,2.0,school_bus,< 5,51,60.0,60.0,57.0,171.0,Below Average,Reading,Math,5.196152422706632,0,2.5,2-3 Siblings
662,male,group A,some high school,free/reduced,none,married,sometimes,yes,3.0,school_bus,> 10,51,47.0,47.0,48.333333333333336,145.0,Poor,Math,Reading,2.309401076758503,0,12.5,2-3 Siblings
663,female,group E,associate's degree,standard,none,married,sometimes,yes,2.0,private,5 - 10,69,64.0,67.0,66.66666666666667,200.0,Average,Math,Reading,2.516611478423583,0,7.5,2-3 Siblings
664,male,group E,some high school,standard,none,married,sometimes,yes,4.0,school_bus,5 - 10,72,66.0,62.0,66.66666666666667,200.0,Average,Math,Writing,5.033222956847166,0,7.5,4+ Siblings
665,female,group C,some high school,free/reduced,none,single,regularly,no,6.0,school_bus,5 - 10,42,50.0,53.0,48.333333333333336,145.0,Poor,Writing,Math,5.686240703077327,0,7.5,4+ Siblings
666,female,group E,some college,free/reduced,completed,married,sometimes,no,1.0,private,5 - 10,72,79.0,85.0,78.66666666666667,236.0,Good,Writing,Math,6.506407098647712,0,7.5,One Sibling
667,female,group A,bachelor's degree,free/reduced,none,married,never,,3.0,private,5 - 10,42,60.0,53.0,51.666666666666664,155.0,Below Average,Reading,Math,9.073771725877465,0,7.5,2-3 Siblings
668,female,group D,associate's degree,standard,none,single,regularly,yes,5.0,private,> 10,86,92.0,100.0,92.66666666666667,278.0,Excellent,Writing,Math,7.023769168568492,1,12.5,4+ Siblings
669,female,group B,high school,standard,none,married,regularly,no,2.0,private,5 - 10,74,89.0,84.0,82.33333333333333,247.0,Very Good,Reading,Math,7.637626158259734,1,7.5,2-3 Siblings
670,male,group C,some high school,standard,none,married,never,yes,5.0,private,5 - 10,51,53.0,49.0,51.0,153.0,Below Average,Reading,Writing,2.0,0,7.5,4+ Siblings
671,female,group E,high school,free/reduced,,married,never,no,2.0,school_bus,> 10,59,68.0,69.0,65.33333333333333,196.0,Average,Writing,Math,5.507570547286102,0,12.5,2-3 Siblings
672,female,group D,high school,standard,none,married,regularly,no,2.0,,5 - 10,36,49.0,53.0,46.0,138.0,Poor,Writing,Math,8.888194417315589,0,7.5,2-3 Siblings
673,male,group E,associate's degree,standard,none,married,regularly,no,3.0,school_bus,> 10,98,87.0,85.0,90.0,270.0,Excellent,Math,Writing,7.0,1,12.5,2-3 Siblings
674,female,group D,some high school,free/reduced,none,married,regularly,no,1.0,private,> 10,60,79.0,67.0,68.66666666666667,206.0,Average,Reading,Math,9.60902353693305,0,12.5,One Sibling
675,male,group C,bachelor's degree,free/reduced,none,married,sometimes,yes,3.0,private,5 - 10,68,70.0,74.0,70.66666666666667,212.0,Good,Writing,Math,3.055050463303893,0,7.5,2-3 Siblings
676,female,,high school,standard,none,married,regularly,yes,1.0,school_bus,5 - 10,74,75.0,76.0,75.0,225.0,Good,Writing,Math,1.0,0,7.5,One Sibling
677,female,group E,high school,free/reduced,none,divorced,regularly,no,3.0,private,> 10,79,77.0,77.0,77.66666666666667,233.0,Good,Math,Reading,1.1547005383792517,0,12.5,2-3 Siblings
678,male,group B,high school,standard,completed,single,sometimes,yes,3.0,school_bus,,55,60.0,57.0,57.333333333333336,172.0,Below Average,Reading,Math,2.516611478423583,0,,2-3 Siblings
679,female,group C,some college,standard,none,single,sometimes,no,3.0,,5 - 10,56,59.0,54.0,56.333333333333336,169.0,Below Average,Reading,Writing,2.516611478423583,0,7.5,2-3 Siblings
680,female,group C,some high school,standard,completed,married,regularly,yes,2.0,,,54,71.0,75.0,66.66666666666667,200.0,Average,Writing,Math,11.150485789118488,0,,2-3 Siblings
681,female,,high school,free/reduced,none,married,never,yes,4.0,,> 10,50,62.0,64.0,58.666666666666664,176.0,Below Average,Writing,Math,7.571877794400365,0,12.5,4+ Siblings
682,male,group B,some high school,standard,completed,married,sometimes,yes,1.0,school_bus,< 5,79,81.0,78.0,79.33333333333333,238.0,Good,Reading,Writing,1.5275252316519468,0,2.5,One Sibling
683,male,group C,some college,standard,completed,single,regularly,yes,2.0,school_bus,< 5,58,58.0,56.0,57.333333333333336,172.0,Below Average,Math,Writing,1.1547005383792517,0,2.5,2-3 Siblings
684,female,group D,master's degree,free/reduced,completed,married,sometimes,yes,3.0,school_bus,5 - 10,82,81.0,87.0,83.33333333333333,250.0,Very Good,Writing,Reading,3.214550253664318,1,7.5,2-3 Siblings
685,male,group B,associate's degree,free/reduced,completed,single,never,no,4.0,private,5 - 10,62,68.0,69.0,66.33333333333333,199.0,Average,Writing,Math,3.7859388972001824,0,7.5,4+ Siblings
687,male,group D,some high school,standard,none,single,never,yes,1.0,school_bus,> 10,85,63.0,61.0,69.66666666666667,209.0,Average,Math,Writing,13.316656236958787,0,12.5,One Sibling
688,male,group C,associate's degree,free/reduced,none,widowed,regularly,yes,0.0,school_bus,5 - 10,72,64.0,67.0,67.66666666666667,203.0,Average,Math,Reading,4.041451884327381,0,7.5,Only Child
689,male,group C,bachelor's degree,standard,none,married,sometimes,yes,1.0,school_bus,> 10,92,86.0,84.0,87.33333333333333,262.0,Very Good,Math,Writing,4.163331998932265,1,12.5,One Sibling
690,female,group A,associate's degree,free/reduced,none,single,sometimes,yes,1.0,private,5 - 10,28,34.0,34.0,32.0,96.0,Poor,Reading,Math,3.4641016151377544,0,7.5,One Sibling
691,male,group B,high school,free/reduced,completed,single,regularly,no,1.0,school_bus,5 - 10,70,79.0,76.0,75.0,225.0,Good,Reading,Math,4.58257569495584,0,7.5,One Sibling
692,male,group C,high school,standard,completed,single,regularly,yes,1.0,,5 - 10,81,80.0,82.0,81.0,243.0,Very Good,Writing,Reading,1.0,1,7.5,One Sibling
694,male,group E,bachelor's degree,free/reduced,none,married,never,no,1.0,school_bus,5 - 10,84,76.0,73.0,77.66666666666667,233.0,Good,Math,Writing,5.686240703077327,0,7.5,One Sibling
695,female,,high school,standard,none,married,sometimes,yes,6.0,school_bus,5 - 10,53,67.0,68.0,62.666666666666664,188.0,Average,Writing,Math,8.386497083606084,0,7.5,4+ Siblings
696,female,group C,bachelor's degree,standard,none,married,sometimes,no,3.0,school_bus,5 - 10,82,95.0,98.0,91.66666666666667,275.0,Excellent,Writing,Math,8.504900548115383,1,7.5,2-3 Siblings
697,female,group D,,standard,none,,sometimes,yes,3.0,school_bus,5 - 10,72,65.0,73.0,70.0,210.0,Good,Writing,Reading,4.358898943540674,0,7.5,2-3 Siblings
698,female,group D,,standard,completed,married,never,no,4.0,school_bus,5 - 10,83,90.0,94.0,89.0,267.0,Very Good,Writing,Math,5.5677643628300215,1,7.5,4+ Siblings
700,male,group B,associate's degree,standard,none,single,never,no,2.0,school_bus,< 5,79,64.0,64.0,69.0,207.0,Average,Math,Reading,8.660254037844387,0,2.5,2-3 Siblings
701,male,group C,associate's degree,standard,completed,married,never,yes,0.0,school_bus,5 - 10,74,77.0,72.0,74.33333333333333,223.0,Good,Reading,Writing,2.5166114784235836,0,7.5,Only Child
702,female,group B,associate's degree,free/reduced,none,married,regularly,yes,2.0,school_bus,5 - 10,45,53.0,55.0,51.0,153.0,Below Average,Writing,Math,5.291502622129181,0,7.5,2-3 Siblings
703,female,,master's degree,standard,none,divorced,regularly,yes,4.0,private,5 - 10,44,66.0,67.0,59.0,177.0,Below Average,Writing,Math,13.0,0,7.5,4+ Siblings
704,female,group B,high school,standard,completed,married,regularly,yes,6.0,private,5 - 10,51,69.0,60.0,60.0,180.0,Average,Reading,Math,9.0,0,7.5,4+ Siblings
705,female,group C,bachelor's degree,free/reduced,completed,married,regularly,yes,0.0,school_bus,> 10,80,91.0,90.0,87.0,261.0,Very Good,Reading,Math,6.082762530298219,1,12.5,Only Child
706,male,group B,some college,standard,completed,single,sometimes,yes,1.0,private,> 10,80,66.0,67.0,71.0,213.0,Good,Math,Reading,7.810249675906654,0,12.5,One Sibling
707,male,group D,bachelor's degree,standard,none,married,never,,6.0,private,< 5,63,63.0,58.0,61.333333333333336,184.0,Average,Math,Writing,2.8867513459481287,0,2.5,4+ Siblings
708,male,group B,some college,standard,completed,married,regularly,no,4.0,school_bus,< 5,62,60.0,64.0,62.0,186.0,Average,Writing,Reading,2.0,0,2.5,4+ Siblings
709,male,group B,master's degree,free/reduced,completed,,sometimes,no,1.0,,5 - 10,67,68.0,70.0,68.33333333333333,205.0,Average,Writing,Math,1.5275252316519468,0,7.5,One Sibling
710,female,group D,some high school,standard,none,divorced,,yes,2.0,school_bus,5 - 10,66,62.0,64.0,64.0,192.0,Average,Math,Reading,2.0,0,7.5,2-3 Siblings
711,male,group A,some college,standard,none,married,regularly,yes,3.0,private,5 - 10,62,55.0,55.0,57.333333333333336,172.0,Below Average,Math,Reading,4.041451884327381,0,7.5,2-3 Siblings
712,male,,some college,standard,none,single,sometimes,yes,0.0,school_bus,> 10,82,71.0,68.0,73.66666666666667,221.0,Good,Math,Writing,7.3711147958319945,0,12.5,Only Child
713,female,group C,some high school,standard,completed,married,sometimes,yes,5.0,school_bus,5 - 10,71,91.0,89.0,83.66666666666667,251.0,Very Good,Reading,Math,11.015141094572204,1,7.5,4+ Siblings
714,male,group D,some college,free/reduced,none,married,sometimes,no,,private,> 10,64,57.0,53.0,58.0,174.0,Below Average,Math,Writing,5.5677643628300215,0,12.5,4+ Siblings
715,female,group D,high school,free/reduced,none,single,never,yes,2.0,school_bus,> 10,63,64.0,66.0,64.33333333333333,193.0,Average,Writing,Math,1.5275252316519468,0,12.5,2-3 Siblings
716,male,group E,high school,standard,completed,single,sometimes,no,3.0,school_bus,5 - 10,59,50.0,54.0,54.333333333333336,163.0,Below Average,Math,Reading,4.509249752822894,0,7.5,2-3 Siblings
717,male,group C,bachelor's degree,free/reduced,none,married,sometimes,no,5.0,school_bus,,61,57.0,49.0,55.666666666666664,167.0,Below Average,Math,Writing,6.110100926607787,0,,4+ Siblings
