Unnamed: 0,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore
811,male,group E,associate's degree,free/reduced,none,divorced,sometimes,yes,3.0,private,> 10,32,35.0,30.0
813,male,group B,associate's degree,standard,none,divorced,sometimes,yes,3.0,school_bus,5 - 10,66,68.0,68.0
814,male,group B,high school,standard,completed,married,sometimes,no,2.0,private,5 - 10,65,68.0,67.0
815,female,group B,high school,free/reduced,none,married,regularly,no,2.0,school_bus,< 5,61,64.0,72.0
816,female,group E,some high school,free/reduced,completed,married,sometimes,yes,3.0,private,< 5,63,70.0,77.0
817,female,group B,some high school,standard,none,single,never,yes,2.0,school_bus,< 5,53,74.0,73.0
818,female,group B,some college,free/reduced,none,single,regularly,yes,5.0,private,5 - 10,46,53.0,53.0
819,male,group C,bachelor's degree,free/reduced,none,married,regularly,yes,1.0,school_bus,5 - 10,49,46.0,48.0
820,male,group E,some high school,free/reduced,none,married,sometimes,yes,1.0,private,< 5,60,49.0,45.0
821,male,group C,some college,standard,completed,single,sometimes,yes,2.0,school_bus,< 5,61,46.0,50.0
822,female,group B,associate's degree,standard,completed,married,regularly,no,2.0,school_bus,5 - 10,51,58.0,60.0
823,male,group D,associate's degree,standard,none,single,never,yes,0.0,school_bus,< 5,47,51.0,50.0
824,male,group D,bachelor's degree,standard,none,single,sometimes,yes,0.0,school_bus,5 - 10,88,71.0,76.0
825,female,group A,associate's degree,standard,completed,single,never,no,3.0,private,< 5,65,76.0,74.0
827,male,group C,bachelor's degree,standard,completed,divorced,sometimes,yes,1.0,private,< 5,78,70.0,74.0
829,male,group C,associate's degree,free/reduced,none,married,regularly,yes,2.0,private,< 5,60,60.0,61.0
830,male,group C,master's degree,standard,none,married,regularly,no,1.0,school_bus,< 5,76,78.0,68.0
831,male,group C,some high school,standard,completed,married,regularly,yes,2.0,school_bus,< 5,84,85.0,79.0
832,male,group D,some high school,standard,none,married,regularly,no,1.0,private,5 - 10,65,64.0,63.0
833,male,group C,bachelor's degree,standard,none,married,sometimes,yes,3.0,school_bus,< 5,87,74.0,76.0
834,female,group D,associate's degree,standard,none,married,sometimes,yes,3.0,school_bus,> 10,88,93.0,92.0
835,female,group D,some college,free/reduced,completed,married,sometimes,yes,0.0,school_bus,5 - 10,66,71.0,77.0
836,male,group D,bachelor's degree,free/reduced,none,married,sometimes,no,3.0,school_bus,< 5,70,65.0,66.0
837,male,group B,master's degree,standard,none,divorced,regularly,yes,1.0,school_bus,< 5,68,73.0,71.0
838,female,group B,some high school,standard,completed,married,sometimes,yes,1.0,private,5 - 10,33,44.0,46.0
839,female,group C,high school,standard,completed,single,never,yes,2.0,private,5 - 10,46,65.0,59.0
840,male,group E,high school,free/reduced,completed,single,never,yes,1.0,school_bus,5 - 10,90,81.0,82.0
841,female,group D,some college,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,65,64.0,69.0
842,female,group A,bachelor's degree,standard,none,single,regularly,yes,1.0,private,< 5,66,68.0,78.0
843,male,group E,some high school,standard,completed,single,regularly,yes,3.0,school_bus,< 5,56,45.0,47.0
844,female,group A,some college,free/reduced,none,divorced,never,no,1.0,private,< 5,29,46.0,42.0
845,female,group D,some college,free/reduced,none,married,never,yes,1.0,school_bus,< 5,59,67.0,65.0
846,female,group C,some college,free/reduced,none,divorced,sometimes,yes,2.0,private,< 5,51,61.0,54.0
847,male,group C,some high school,standard,none,married,regularly,yes,0.0,private,> 10,73,55.0,60.0
848,female,group D,some college,standard,completed,married,regularly,yes,1.0,private,< 5,93,99.0,100.0
849,male,group D,some college,free/reduced,none,divorced,regularly,yes,2.0,school_bus,5 - 10,66,57.0,57.0
850,female,group C,some college,free/reduced,none,divorced,regularly,no,3.0,school_bus,< 5,70,82.0,83.0
851,female,group D,some college,standard,none,single,regularly,yes,1.0,school_bus,< 5,72,80.0,82.0
852,male,group B,some college,free/reduced,none,single,regularly,yes,4.0,private,5 - 10,53,54.0,56.0
853,male,group B,master's degree,standard,none,married,sometimes,no,1.0,school_bus,5 - 10,78,80.0,70.0
854,female,group C,some high school,standard,none,married,sometimes,yes,2.0,private,5 - 10,54,69.0,65.0
855,male,group A,some high school,standard,none,married,regularly,yes,1.0,school_bus,5 - 10,63,59.0,47.0
856,male,group B,some college,standard,none,divorced,sometimes,no,3.0,school_bus,5 - 10,79,83.0,75.0
857,male,group C,high school,free/reduced,none,divorced,sometimes,no,2.0,school_bus,5 - 10,57,50.0,49.0
858,female,group C,some college,standard,none,married,sometimes,no,4.0,school_bus,< 5,65,68.0,72.0
859,male,group C,some high school,standard,none,widowed,regularly,yes,2.0,school_bus,5 - 10,78,81.0,75.0
860,female,group B,some high school,free/reduced,none,married,regularly,no,1.0,school_bus,5 - 10,51,52.0,51.0
861,female,group B,associate's degree,standard,none,single,sometimes,yes,1.0,private,< 5,87,86.0,89.0
862,female,group E,some college,free/reduced,completed,single,sometimes,no,1.0,private,5 - 10,53,61.0,62.0
863,male,group B,some high school,standard,completed,single,sometimes,yes,3.0,school_bus,< 5,61,55.0,61.0
864,male,group C,master's degree,standard,none,married,never,yes,3.0,school_bus,5 - 10,87,82.0,78.0
865,male,group D,high school,standard,none,married,regularly,yes,2.0,private,5 - 10,98,92.0,91.0
866,female,group C,high school,free/reduced,none,married,sometimes,yes,2.0,school_bus,5 - 10,53,67.0,68.0
867,male,group C,some college,standard,none,married,regularly,yes,2.0,school_bus,< 5,66,64.0,53.0
868,male,group E,some college,standard,none,divorced,never,yes,0.0,private,> 10,69,64.0,55.0
869,male,group C,some college,free/reduced,completed,married,never,no,1.0,school_bus,5 - 10,78,77.0,74.0
870,male,group C,some college,standard,none,divorced,never,yes,3.0,private,> 10,56,55.0,50.0
871,female,group C,some college,standard,completed,married,regularly,yes,0.0,private,5 - 10,100,98.0,100.0
873,female,group C,high school,standard,none,married,regularly,yes,4.0,school_bus,5 - 10,73,74.0,69.0
874,male,group C,some high school,standard,completed,married,regularly,no,2.0,school_bus,> 10,84,82.0,80.0
875,male,group E,some college,free/reduced,none,married,sometimes,yes,1.0,school_bus,5 - 10,48,52.0,48.0
876,male,group E,associate's degree,standard,none,married,regularly,yes,3.0,private,> 10,77,61.0,57.0
877,male,group C,some high school,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,56,47.0,40.0
878,female,group E,some college,standard,none,divorced,sometimes,yes,1.0,school_bus,5 - 10,66,66.0,60.0
879,female,group C,some college,free/reduced,completed,single,sometimes,yes,4.0,school_bus,5 - 10,46,68.0,67.0
880,female,group C,high school,free/reduced,none,divorced,sometimes,yes,2.0,school_bus,< 5,36,57.0,52.0
881,male,group B,some high school,standard,none,married,sometimes,no,2.0,school_bus,< 5,75,63.0,58.0
882,male,group E,high school,standard,completed,married,regularly,no,2.0,school_bus,5 - 10,96,87.0,86.0
883,female,group C,some college,free/reduced,none,married,sometimes,yes,0.0,private,> 10,35,49.0,46.0
884,female,group D,associate's degree,standard,none,single,sometimes,yes,2.0,school_bus,5 - 10,62,75.0,74.0
886,male,group C,associate's degree,free/reduced,none,single,regularly,yes,2.0,private,5 - 10,45,47.0,44.0
887,female,group D,some college,free/reduced,none,single,regularly,yes,1.0,school_bus,< 5,61,73.0,75.0
888,male,group C,high school,standard,none,married,regularly,yes,1.0,school_bus,5 - 10,82,72.0,77.0
889,female,group D,master's degree,standard,completed,married,sometimes,no,4.0,private,5 - 10,87,100.0,100.0
890,male,group B,some high school,standard,none,divorced,sometimes,yes,3.0,private,> 10,64,55.0,61.0
891,female,group D,high school,free/reduced,none,divorced,regularly,yes,0.0,private,< 5,43,48.0,49.0
892,female,group D,master's degree,standard,none,divorced,sometimes,yes,2.0,private,5 - 10,88,97.0,100.0
893,female,group C,some high school,standard,none,married,regularly,no,3.0,school_bus,< 5,49,56.0,52.0
894,female,group C,associate's degree,free/reduced,completed,single,sometimes,yes,3.0,school_bus,5 - 10,67,78.0,84.0
896,female,group C,high school,standard,none,divorced,regularly,yes,3.0,school_bus,5 - 10,61,73.0,69.0
897,male,group D,high school,standard,completed,single,sometimes,yes,2.0,school_bus,5 - 10,66,64.0,68.0
898,female,group C,some college,free/reduced,none,married,regularly,yes,1.0,school_bus,5 - 10,53,55.0,55.0
899,male,group C,high school,standard,none,single,sometimes,yes,2.0,school_bus,5 - 10,71,65.0,61.0
900,male,group C,some high school,standard,none,married,regularly,yes,2.0,private,5 - 10,88,88.0,79.0
901,female,group D,associate's degree,free/reduced,none,single,sometimes,yes,4.0,private,5 - 10,29,42.0,40.0
902,female,group D,some high school,standard,none,married,regularly,yes,2.0,private,5 - 10,77,80.0,75.0
903,female,group B,bachelor's degree,free/reduced,none,divorced,regularly,yes,0.0,private,5 - 10,55,76.0,67.0
904,female,group D,associate's degree,standard,none,divorced,sometimes,yes,3.0,private,5 - 10,78,80.0,77.0
905,male,group B,some high school,standard,completed,married,sometimes,yes,5.0,school_bus,< 5,55,59.0,53.0
906,male,group C,some college,standard,completed,married,regularly,yes,2.0,school_bus,5 - 10,53,57.0,58.0
907,male,group E,some college,standard,none,married,regularly,yes,2.0,school_bus,> 10,94,73.0,72.0
908,male,group D,some high school,standard,none,single,sometimes,yes,2.0,school_bus,< 5,87,77.0,74.0
910,female,group C,master's degree,free/reduced,completed,married,sometimes,yes,2.0,private,< 5,39,50.0,53.0
911,male,group D,some college,standard,none,married,sometimes,yes,1.0,school_bus,5 - 10,98,84.0,85.0
912,female,group E,some high school,free/reduced,none,single,sometimes,yes,3.0,school_bus,5 - 10,55,59.0,56.0
913,female,group C,some high school,free/reduced,none,married,regularly,yes,0.0,private,5 - 10,53,73.0,67.0
914,female,group C,associate's degree,standard,completed,divorced,sometimes,no,1.0,private,< 5,73,73.0,74.0
915,female,group C,high school,standard,none,married,regularly,no,2.0,school_bus,5 - 10,66,74.0,73.0
916,female,group E,associate's degree,free/reduced,completed,married,never,yes,3.0,school_bus,> 10,65,74.0,74.0
917,male,group B,some high school,standard,completed,single,sometimes,no,3.0,school_bus,5 - 10,79,75.0,77.0
918,female,group B,some college,standard,none,divorced,sometimes,yes,6.0,private,5 - 10,81,88.0,91.0
919,male,group D,some college,standard,none,married,regularly,no,1.0,private,5 - 10,87,90.0,87.0
920,female,group C,some high school,standard,completed,married,sometimes,yes,3.0,private,5 - 10,49,62.0,67.0
921,male,group C,some college,standard,none,married,sometimes,yes,4.0,private,5 - 10,75,65.0,63.0
922,female,group C,some college,standard,none,married,sometimes,no,4.0,school_bus,5 - 10,62,64.0,67.0
923,female,group E,some high school,standard,none,married,sometimes,no,2.0,private,5 - 10,93,92.0,89.0
924,male,group B,some high school,free/reduced,none,married,never,yes,1.0,school_bus,5 - 10,43,45.0,43.0
925,male,group C,high school,standard,completed,married,sometimes,no,3.0,school_bus,< 5,69,70.0,67.0
926,female,group A,bachelor's degree,standard,completed,married,sometimes,yes,1.0,private,> 10,83,81.0,85.0
927,female,group C,high school,free/reduced,completed,married,regularly,yes,1.0,private,5 - 10,72,75.0,83.0
928,female,group C,some college,free/reduced,none,married,sometimes,yes,3.0,school_bus,> 10,71,70.0,70.0
929,male,group C,bachelor's degree,standard,none,married,sometimes,yes,4.0,school_bus,5 - 10,58,58.0,58.0
930,female,group D,associate's degree,free/reduced,none,single,regularly,no,3.0,private,5 - 10,38,55.0,50.0
931,male,group C,high school,standard,none,married,regularly,yes,0.0,school_bus,< 5,57,57.0,54.0
932,male,group C,associate's degree,standard,none,divorced,regularly,yes,1.0,school_bus,< 5,79,87.0,81.0
933,female,group C,high school,standard,completed,married,sometimes,yes,2.0,school_bus,5 - 10,70,79.0,80.0
934,male,group C,some college,free/reduced,none,single,regularly,yes,1.0,school_bus,> 10,67,61.0,58.0
935,female,group D,master's degree,standard,completed,married,never,yes,6.0,private,< 5,61,69.0,78.0
936,female,group D,some college,free/reduced,none,married,sometimes,yes,2.0,school_bus,5 - 10,63,68.0,63.0
937,male,group C,high school,standard,completed,married,sometimes,yes,4.0,school_bus,5 - 10,86,75.0,71.0
939,female,group B,some college,standard,none,divorced,sometimes,yes,3.0,private,> 10,74,73.0,74.0
940,female,group C,some college,free/reduced,none,married,sometimes,yes,2.0,school_bus,5 - 10,43,50.0,53.0
941,male,group B,some high school,standard,none,married,sometimes,yes,2.0,private,5 - 10,52,51.0,44.0
942,male,group D,associate's degree,standard,none,married,never,no,2.0,school_bus,> 10,79,74.0,71.0
943,male,group E,associate's degree,standard,none,single,sometimes,yes,2.0,school_bus,< 5,86,70.0,68.0
944,male,group E,associate's degree,free/reduced,completed,single,sometimes,yes,2.0,private,5 - 10,67,63.0,64.0
945,male,group C,some college,standard,completed,married,sometimes,yes,0.0,school_bus,> 10,91,76.0,84.0
946,male,group C,some high school,standard,none,married,regularly,yes,3.0,private,< 5,66,73.0,63.0
947,female,group B,high school,free/reduced,none,single,never,yes,1.0,private,> 10,39,55.0,48.0
948,male,group C,some college,standard,none,married,never,no,2.0,school_bus,> 10,75,77.0,71.0
949,male,group C,high school,standard,none,married,regularly,yes,1.0,private,5 - 10,75,66.0,69.0
950,male,group C,some high school,standard,none,divorced,never,yes,2.0,school_bus,5 - 10,66,65.0,63.0
951,male,group B,associate's degree,free/reduced,none,divorced,sometimes,no,2.0,private,< 5,71,76.0,76.0
952,female,group C,some college,standard,none,married,sometimes,yes,1.0,school_bus,5 - 10,81,91.0,92.0
953,female,group B,some high school,free/reduced,none,married,never,no,3.0,school_bus,5 - 10,39,55.0,52.0
954,male,group D,some college,standard,completed,married,sometimes,yes,2.0,private,< 5,94,90.0,95.0
955,female,group D,associate's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,62,67.0,76.0
956,female,group B,high school,standard,completed,married,sometimes,yes,3.0,school_bus,5 - 10,58,65.0,65.0
957,male,group A,some college,standard,none,divorced,sometimes,yes,2.0,school_bus,< 5,62,61.0,56.0
958,female,group C,some college,free/reduced,none,married,never,yes,3.0,private,< 5,58,61.0,56.0
959,male,group D,associate's degree,standard,none,married,sometimes,yes,5.0,school_bus,5 - 10,91,81.0,77.0
960,female,group A,some high school,free/reduced,none,married,never,yes,4.0,private,5 - 10,51,66.0,60.0
961,female,group C,some college,standard,none,married,regularly,yes,2.0,school_bus,5 - 10,50,59.0,61.0
962,female,group C,high school,standard,none,married,regularly,yes,2.0,school_bus,5 - 10,49,60.0,50.0
963,male,group B,some high school,standard,completed,married,regularly,yes,2.0,school_bus,5 - 10,75,76.0,76.0
965,female,group C,some college,standard,none,married,sometimes,yes,3.0,school_bus,5 - 10,60,53.0,59.0
966,male,group C,some college,standard,none,widowed,sometimes,no,3.0,school_bus,5 - 10,68,70.0,63.0
967,female,group E,some high school,standard,none,married,never,yes,3.0,school_bus,> 10,71,64.0,66.0
968,female,group A,associate's degree,free/reduced,none,married,sometimes,no,1.0,private,< 5,57,73.0,70.0
969,male,group B,high school,free/reduced,none,widowed,sometimes,no,2.0,school_bus,< 5,44,39.0,40.0
971,male,group D,some college,standard,none,married,regularly,yes,2.0,private,5 - 10,81,64.0,73.0
972,female,group B,bachelor's degree,standard,completed,married,never,yes,2.0,school_bus,5 - 10,75,78.0,82.0
973,male,group D,bachelor's degree,free/reduced,completed,married,sometimes,yes,3.0,school_bus,5 - 10,91,85.0,86.0
974,female,group B,associate's degree,standard,completed,single,regularly,no,1.0,school_bus,5 - 10,94,98.0,99.0
975,male,group D,associate's degree,standard,none,divorced,sometimes,yes,5.0,private,5 - 10,69,65.0,60.0
976,male,group D,high school,standard,completed,married,sometimes,yes,2.0,school_bus,< 5,89,84.0,86.0
977,male,group D,some college,standard,completed,married,regularly,yes,2.0,school_bus,5 - 10,95,88.0,96.0
978,male,group C,some high school,standard,none,married,sometimes,yes,6.0,school_bus,5 - 10,51,55.0,55.0
979,male,group C,master's degree,standard,completed,married,regularly,yes,1.0,private,5 - 10,86,85.0,96.0
980,male,group A,some college,standard,none,married,sometimes,yes,1.0,school_bus,< 5,72,67.0,67.0
981,female,group C,high school,standard,none,married,regularly,yes,1.0,private,< 5,83,89.0,86.0
982,female,group D,bachelor's degree,standard,none,single,regularly,yes,1.0,private,> 10,78,74.0,84.0
983,female,group C,bachelor's degree,standard,completed,married,sometimes,yes,0.0,school_bus,5 - 10,86,89.0,94.0
984,male,group E,some high school,standard,none,married,sometimes,yes,3.0,school_bus,< 5,49,37.0,34.0
985,male,group C,high school,standard,none,single,sometimes,no,5.0,private,< 5,69,65.0,57.0
986,male,group C,bachelor's degree,standard,none,single,sometimes,yes,0.0,school_bus,5 - 10,68,66.0,58.0
987,male,group D,associate's degree,free/reduced,none,divorced,regularly,yes,3.0,school_bus,< 5,52,54.0,58.0
988,male,group E,high school,free/reduced,none,single,regularly,yes,2.0,private,5 - 10,53,47.0,45.0
989,male,group C,bachelor's degree,free/reduced,none,married,sometimes,yes,4.0,private,5 - 10,61,61.0,60.0
990,male,group C,high school,standard,none,married,never,no,1.0,school_bus,5 - 10,87,82.0,78.0
991,female,group C,some college,standard,completed,married,regularly,yes,5.0,private,5 - 10,98,100.0,100.0
992,male,group C,high school,free/reduced,none,married,never,no,1.0,school_bus,< 5,38,47.0,43.0
993,female,group E,some college,free/reduced,none,married,sometimes,yes,3.0,private,5 - 10,63,66.0,61.0
994,female,group D,some high school,standard,completed,divorced,sometimes,yes,2.0,private,> 10,46,63.0,63.0
995,female,group C,some college,free/reduced,none,married,regularly,no,3.0,private,> 10,49,59.0,59.0
996,female,group C,some college,standard,none,married,regularly,yes,2.0,private,5 - 10,62,66.0,61.0
997,female,group E,some high school,standard,completed,married,regularly,no,3.0,private,5 - 10,87,88.0,89.0
998,male,group D,associate's degree,standard,none,married,regularly,yes,0.0,school_bus,5 - 10,80,82.0,80.0
999,male,group D,associate's degree,standard,none,single,sometimes,yes,2.0,school_bus,< 5,75,69.0,64.0
0,female,group E,associate's degree,free/reduced,none,single,regularly,yes,0.0,school_bus,< 5,74,77.0,68.0
1,female,group D,some high school,standard,none,married,regularly,yes,2.0,school_bus,5 - 10,93,100.0,100.0
2,female,group E,associate's degree,standard,completed,married,sometimes,yes,1.0,private,< 5,92,94.0,98.0
3,female,group D,associate's degree,standard,completed,married,regularly,yes,0.0,school_bus,< 5,42,59.0,66.0
4,female,group C,some college,standard,none,single,sometimes,no,1.0,private,5 - 10,65,84.0,78.0
5,male,group D,some high school,free/reduced,completed,married,regularly,yes,1.0,private,5 - 10,85,88.0,84.0
6,male,group E,associate's degree,free/reduced,none,married,sometimes,yes,3.0,private,< 5,70,68.0,59.0
7,male,group C,some high school,standard,none,married,sometimes,no,4.0,school_bus,< 5,36,33.0,28.0
8,male,group D,some college,standard,completed,divorced,sometimes,yes,1.0,private,< 5,72,65.0,62.0
9,male,group A,some college,standard,none,married,regularly,yes,0.0,school_bus,5 - 10,66,56.0,56.0
10,male,group B,some college,standard,completed,married,never,no,1.0,private,< 5,63,57.0,53.0
11,female,group A,high school,standard,completed,married,sometimes,no,4.0,school_bus,5 - 10,51,60.0,61.0
12,female,group B,associate's degree,free/reduced,none,single,sometimes,yes,3.0,school_bus,5 - 10,53,69.0,71.0
13,male,group C,master's degree,standard,none,married,never,yes,3.0,school_bus,< 5,63,62.0,60.0
14,male,group E,bachelor's degree,standard,none,single,sometimes,yes,2.0,school_bus,5 - 10,100,100.0,92.0
15,female,group C,master's degree,free/reduced,none,married,sometimes,no,2.0,school_bus,< 5,44,56.0,60.0
16,female,group C,bachelor's degree,free/reduced,none,married,sometimes,yes,1.0,school_bus,5 - 10,72,74.0,81.0
18,female,group D,associate's degree,standard,none,divorced,regularly,yes,2.0,school_bus,> 10,77,76.0,82.0
19,female,group D,some college,standard,none,married,sometimes,yes,1.0,private,5 - 10,73,85.0,92.0
20,female,group D,associate's degree,standard,none,married,regularly,yes,1.0,private,5 - 10,72,78.0,82.0
21,male,group C,some high school,standard,none,married,regularly,yes,2.0,private,5 - 10,79,70.0,69.0
22,female,group B,associate's degree,free/reduced,none,married,regularly,yes,0.0,school_bus,5 - 10,39,54.0,53.0
23,male,group C,high school,free/reduced,completed,married,regularly,no,1.0,school_bus,5 - 10,86,80.0,85.0
24,female,group B,some college,standard,completed,divorced,regularly,yes,2.0,school_bus,5 - 10,52,62.0,58.0
25,female,group C,some college,standard,none,single,regularly,yes,3.0,private,< 5,54,68.0,64.0
26,male,group C,some college,standard,none,married,sometimes,yes,0.0,private,5 - 10,39,54.0,44.0
27,male,group C,master's degree,standard,none,married,sometimes,yes,3.0,school_bus,< 5,58,56.0,56.0
28,female,group C,some high school,standard,none,single,never,no,2.0,private,5 - 10,69,71.0,75.0
29,female,group D,bachelor's degree,standard,none,married,sometimes,no,2.0,private,< 5,74,84.0,82.0
30,female,group C,some college,standard,none,divorced,sometimes,no,3.0,school_bus,> 10,75,82.0,80.0
31,male,group C,associate's degree,standard,none,married,sometimes,yes,1.0,school_bus,< 5,83,78.0,70.0
33,female,group E,bachelor's degree,standard,none,married,never,no,4.0,private,< 5,65,75.0,72.0
34,male,group D,some high school,free/reduced,none,married,regularly,yes,2.0,private,5 - 10,66,65.0,63.0
35,male,group A,some college,free/reduced,completed,single,never,no,1.0,private,5 - 10,76,65.0,68.0
36,male,group C,associate's degree,free/reduced,none,married,regularly,yes,5.0,private,5 - 10,50,46.0,45.0
37,female,group D,bachelor's degree,free/reduced,none,single,sometimes,yes,3.0,private,< 5,40,65.0,65.0
38,male,group C,associate's degree,free/reduced,completed,married,sometimes,no,3.0,school_bus,5 - 10,78,84.0,79.0
39,male,group A,associate's degree,standard,none,single,sometimes,yes,3.0,school_bus,5 - 10,73,62.0,60.0
40,female,group C,associate's degree,free/reduced,none,divorced,sometimes,yes,2.0,private,< 5,62,78.0,74.0
41,male,group C,high school,standard,completed,single,sometimes,yes,1.0,private,5 - 10,81,75.0,76.0
42,male,group B,master's degree,free/reduced,none,married,sometimes,yes,2.0,school_bus,5 - 10,76,74.0,74.0
43,male,group C,some high school,standard,none,divorced,regularly,yes,4.0,private,5 - 10,56,55.0,50.0
44,female,group B,some high school,free/reduced,completed,married,regularly,yes,4.0,school_bus,< 5,72,88.0,89.0
45,male,group A,some college,free/reduced,completed,divorced,sometimes,yes,2.0,private,5 - 10,45,42.0,41.0
46,male,group A,associate's degree,standard,none,single,sometimes,yes,1.0,private,5 - 10,73,75.0,70.0
47,male,group C,some high school,standard,none,married,never,yes,3.0,private,< 5,79,73.0,69.0
48,male,group D,some college,free/reduced,none,divorced,sometimes,no,1.0,school_bus,> 10,61,62.0,59.0
49,male,group E,bachelor's degree,free/reduced,none,married,sometimes,yes,3.0,school_bus,< 5,60,52.0,52.0
50,female,group D,bachelor's degree,standard,completed,married,sometimes,yes,1.0,school_bus,< 5,68,72.0,76.0
51,female,group B,high school,standard,completed,married,regularly,yes,1.0,private,> 10,68,67.0,70.0
52,male,group E,high school,free/reduced,none,married,regularly,yes,4.0,private,5 - 10,83,70.0,63.0
53,male,group B,associate's degree,standard,none,married,sometimes,yes,2.0,private,< 5,61,50.0,50.0
54,male,group B,associate's degree,free/reduced,completed,married,sometimes,no,3.0,school_bus,5 - 10,67,69.0,68.0
55,male,group C,some college,free/reduced,none,widowed,sometimes,yes,2.0,private,< 5,72,66.0,65.0
56,female,group A,some high school,standard,completed,single,sometimes,yes,2.0,school_bus,< 5,60,62.0,66.0
57,female,group B,associate's degree,standard,completed,single,never,yes,1.0,school_bus,> 10,53,65.0,68.0
58,female,group C,some high school,free/reduced,none,married,never,yes,6.0,private,5 - 10,46,49.0,47.0
59,female,group D,bachelor's degree,standard,completed,married,sometimes,no,2.0,private,5 - 10,81,91.0,96.0
60,male,group B,bachelor's degree,standard,completed,married,regularly,yes,1.0,school_bus,5 - 10,94,88.0,88.0
62,female,group D,some college,free/reduced,none,married,regularly,yes,4.0,private,5 - 10,44,58.0,57.0
63,female,group C,high school,standard,none,single,sometimes,yes,3.0,private,5 - 10,56,66.0,58.0
64,male,group D,bachelor's degree,standard,completed,married,sometimes,yes,2.0,school_bus,5 - 10,66,73.0,75.0
65,male,group C,associate's degree,standard,none,divorced,regularly,no,2.0,school_bus,5 - 10,60,58.0,58.0
66,male,group B,associate's degree,free/reduced,completed,single,regularly,no,2.0,school_bus,5 - 10,69,62.0,65.0
67,male,group C,some high school,standard,completed,married,regularly,yes,2.0,private,< 5,50,51.0,54.0
68,female,group D,bachelor's degree,standard,none,married,regularly,yes,4.0,private,5 - 10,45,57.0,63.0
69,female,group B,master's degree,free/reduced,completed,divorced,never,yes,0.0,private,> 10,71,80.0,83.0
70,male,group D,some college,standard,completed,divorced,regularly,yes,1.0,school_bus,> 10,86,78.0,82.0
71,male,group C,some college,free/reduced,completed,single,never,no,6.0,private,5 - 10,64,63.0,61.0
72,male,group C,associate's degree,standard,none,married,sometimes,yes,2.0,private,5 - 10,58,53.0,57.0
73,male,group C,high school,free/reduced,none,divorced,sometimes,yes,5.0,school_bus,5 - 10,69,69.0,62.0
74,female,group C,some college,standard,none,married,sometimes,yes,0.0,private,5 - 10,70,82.0,87.0
75,male,group C,associate's degree,standard,none,married,sometimes,yes,2.0,private,< 5,81,68.0,62.0
77,female,group B,associate's degree,free/reduced,completed,married,never,yes,2.0,private,5 - 10,35,49.0,48.0
79,male,group C,associate's degree,free/reduced,none,married,regularly,yes,3.0,school_bus,5 - 10,31,43.0,39.0
80,female,group D,high school,standard,completed,single,never,yes,2.0,school_bus,5 - 10,79,88.0,86.0
81,female,group B,some college,standard,none,divorced,sometimes,no,2.0,private,5 - 10,51,68.0,62.0
82,female,group D,high school,standard,none,married,sometimes,yes,2.0,school_bus,< 5,54,74.0,67.0
83,female,group B,high school,standard,none,married,sometimes,yes,1.0,private,5 - 10,60,72.0,68.0
84,male,group D,bachelor's degree,standard,completed,married,sometimes,yes,0.0,school_bus,5 - 10,87,88.0,93.0
85,male,group B,some high school,standard,completed,single,regularly,yes,2.0,private,5 - 10,46,57.0,46.0
86,male,group C,associate's degree,standard,completed,married,regularly,yes,3.0,school_bus,> 10,100,100.0,100.0
87,female,group C,some high school,free/reduced,none,single,regularly,yes,3.0,private,< 5,48,63.0,62.0
88,male,group C,bachelor's degree,free/reduced,none,single,sometimes,yes,1.0,school_bus,> 10,43,36.0,37.0
89,male,group B,high school,standard,completed,single,sometimes,yes,0.0,private,5 - 10,93,85.0,87.0
90,male,group D,associate's degree,standard,none,married,sometimes,no,4.0,school_bus,< 5,82,79.0,72.0
91,female,group D,associate's degree,standard,completed,married,sometimes,yes,1.0,school_bus,> 10,47,62.0,64.0
92,male,group E,some college,standard,none,single,regularly,yes,0.0,private,> 10,68,64.0,58.0
93,female,group C,associate's degree,free/reduced,completed,single,regularly,no,3.0,school_bus,5 - 10,75,93.0,90.0
94,female,group C,high school,standard,none,married,regularly,yes,0.0,school_bus,5 - 10,73,76.0,73.0
95,male,group A,some high school,free/reduced,none,married,sometimes,yes,1.0,private,5 - 10,62,52.0,45.0
96,female,group B,bachelor's degree,standard,completed,divorced,sometimes,yes,2.0,private,5 - 10,68,74.0,78.0
97,male,group D,master's degree,free/reduced,completed,single,sometimes,yes,0.0,private,5 - 10,70,79.0,77.0
98,female,group B,some high school,standard,none,married,regularly,yes,2.0,school_bus,5 - 10,57,70.0,58.0
99,female,group D,high school,standard,completed,single,never,yes,4.0,school_bus,< 5,51,68.0,62.0
100,male,group D,bachelor's degree,standard,none,single,sometimes,yes,3.0,private,< 5,70,68.0,67.0
101,female,group E,some college,free/reduced,completed,married,regularly,no,3.0,school_bus,5 - 10,91,91.0,100.0
102,female,group D,some high school,standard,none,divorced,sometimes,yes,1.0,private,5 - 10,37,39.0,37.0
103,male,group C,bachelor's degree,standard,completed,married,sometimes,yes,2.0,private,5 - 10,67,62.0,58.0
